"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","button0","button1","condition","order"
"audio-keyboard-response","85","321561","0.0-85.0","lssj5lhuy9ljuhn","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","86","341024","0.0-86.0","lssj5lhuy9ljuhn","","null","","","null","","","nsc-label-first","1-1"
"audio-keyboard-response","87","344892","0.0-87.0","lssj5lhuy9ljuhn","","null","audio/norm_nissle.wav","","null","","","",""
"html-button-response","88","345947","0.0-88.0","lssj5lhuy9ljuhn","","1052","","1","","<img src=""img/2.png"" width=""40%"" />","<img src=""img/6.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","89","349317","0.0-89.0","lssj5lhuy9ljuhn","","null","audio/norm_fopin.wav","","null","","","",""
"html-button-response","90","349874","0.0-90.0","lssj5lhuy9ljuhn","","549","","1","","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","91","353239","0.0-91.0","lssj5lhuy9ljuhn","","null","audio/norm_nissle.wav","","null","","","",""
"html-button-response","92","354029","0.0-92.0","lssj5lhuy9ljuhn","","787.0000000000582","","0","","<img src=""img/2.png"" width=""40%"" />","<img src=""img/6.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","93","357390","0.0-93.0","lssj5lhuy9ljuhn","","null","audio/norm_fopin.wav","","null","","","",""
"html-button-response","94","358142","0.0-94.0","lssj5lhuy9ljuhn","","751.9999999999418","","0","","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","95","361642","0.0-95.0","lssj5lhuy9ljuhn","","null","audio/goodjob.wav","","null","","","",""
"image-keyboard-response","96","364644","0.0-96.0","lssj5lhuy9ljuhn","","null","img/welldone.jpg","","null","","","",""
