"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"audio-keyboard-response","77","338751","0.0-77.0","sh9zoc78vo60ggy","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","78","342768","0.0-78.0","sh9zoc78vo60ggy","","4013.999999999942","","0","","sc-label-last","1-1","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />"
"audio-keyboard-response","79","346135","0.0-79.0","sh9zoc78vo60ggy","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","80","347817","0.0-80.0","sh9zoc78vo60ggy","","1679","","0","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","81","351183","0.0-81.0","sh9zoc78vo60ggy","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","82","373760","0.0-82.0","sh9zoc78vo60ggy","","22568.00000000006","","1","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","83","377267","0.0-83.0","sh9zoc78vo60ggy","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","84","380271","0.0-84.0","sh9zoc78vo60ggy","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","85","398662","0.0-85.0","sh9zoc78vo60ggy","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","86","402528","0.0-86.0","sh9zoc78vo60ggy","","null","audio/norm_tentle.mp3","","null","","","",""
"html-button-response","87","407064","0.0-87.0","sh9zoc78vo60ggy","","4534","","0","","sc-label-last","1-1","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />"
"audio-keyboard-response","88","410430","0.0-88.0","sh9zoc78vo60ggy","","null","audio/norm_tentle.mp3","","null","","","",""
"html-button-response","89","412197","0.0-89.0","sh9zoc78vo60ggy","","1763","","0","","sc-label-last","1-1","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />"
"audio-keyboard-response","90","415562","0.0-90.0","sh9zoc78vo60ggy","","null","audio/norm_paegu.mp3","","null","","","",""
"html-button-response","91","416965","0.0-91.0","sh9zoc78vo60ggy","","1401","","0","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","92","420321","0.0-92.0","sh9zoc78vo60ggy","","null","audio/norm_paegu.mp3","","null","","","",""
"html-button-response","93","421831","0.0-93.0","sh9zoc78vo60ggy","","1511","","0","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","94","425329","0.0-94.0","sh9zoc78vo60ggy","","null","audio/goodjob.wav","","null","","","",""
"image-keyboard-response","95","428332","0.0-95.0","sh9zoc78vo60ggy","","null","img/welldone.jpg","","null","","","",""
